                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0724,                 2.8359,                 1.5511,                0.63285,                0.45884,                0.53541,                 0.4006,                0.83561,                 1.8367,                 1.3213,              0.0033286,              0.0033286,              0.0033286
                      2,                0.90656,                 1.7999,                 1.3752,                0.46678,                0.54263,                0.55262,                0.40365,                0.92429,                 1.6812,                 1.4214,              0.0066553,              0.0066553,              0.0066553
                      3,                0.94733,                 1.6899,                 1.3726,                0.47563,                0.64481,                0.63233,                0.45921,                0.94007,                 1.3892,                 1.3954,              0.0099755,              0.0099755,              0.0099755
                      4,                 1.0038,                  1.636,                 1.4031,                0.44425,                0.55229,                 0.5122,                0.36574,                 1.1297,                 1.7751,                 1.5479,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.0461,                 1.6463,                 1.4496,                 0.6939,                0.52658,                0.59449,                0.43327,                 1.0815,                  1.556,                 1.5105,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.0616,                 1.6193,                 1.4724,                 0.5436,                0.58512,                0.60416,                0.42561,                 1.1205,                 1.4996,                 1.5886,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.0404,                 1.5003,                 1.4304,                0.46657,                0.64139,                0.63196,                0.44226,                 1.0492,                 1.4736,                 1.4805,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.0284,                 1.5081,                 1.4334,                0.59686,                0.49459,                0.57959,                 0.4125,                 1.0681,                 1.4656,                 1.4958,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.0211,                 1.4541,                 1.4167,                0.59653,                 0.6086,                0.61833,                 0.4416,                 1.0597,                 1.3506,                 1.4914,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.0019,                 1.4103,                 1.4035,                0.77625,                0.62397,                0.72742,                  0.544,                0.97688,                 1.1857,                 1.3888,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.0132,                 1.4073,                 1.4024,                0.67642,                0.64892,                0.71924,                0.52171,                 1.0083,                 1.2471,                 1.4162,               0.009901,               0.009901,               0.009901
                     12,                 1.0026,                 1.3794,                 1.4075,                0.70967,                0.59523,                0.68851,                0.50962,                 1.0118,                 1.2494,                 1.4449,              0.0098911,              0.0098911,              0.0098911
                     13,                0.97991,                 1.3209,                 1.3903,                 0.5701,                 0.6859,                0.70208,                0.52183,                0.97792,                 1.2345,                 1.4015,              0.0098812,              0.0098812,              0.0098812
                     14,                0.96774,                 1.2894,                 1.3708,                0.62019,                0.64911,                0.69204,                0.51672,                0.98375,                 1.2227,                 1.4319,              0.0098713,              0.0098713,              0.0098713
                     15,                0.94479,                 1.2654,                 1.3629,                0.59367,                0.70813,                0.70859,                0.52303,                0.95304,                 1.1787,                 1.3748,              0.0098614,              0.0098614,              0.0098614
                     16,                0.94982,                 1.2699,                 1.3644,                0.56415,                0.78664,                0.72682,                0.54022,                0.93111,                 1.1839,                 1.3829,              0.0098515,              0.0098515,              0.0098515
                     17,                 0.9367,                  1.241,                 1.3573,                0.64593,                0.65455,                0.71923,                0.52349,                0.99368,                 1.2191,                 1.4404,              0.0098416,              0.0098416,              0.0098416
                     18,                0.91006,                 1.2204,                 1.3474,                0.71841,                0.67872,                 0.7696,                0.57329,                0.97387,                  1.083,                 1.4246,              0.0098317,              0.0098317,              0.0098317
                     19,                0.91794,                 1.2126,                 1.3381,                0.66124,                 0.7172,                0.74082,                0.54651,                0.94264,                 1.0996,                 1.3906,              0.0098218,              0.0098218,              0.0098218
                     20,                0.89346,                  1.157,                 1.3216,                0.63919,                0.75498,                0.74056,                0.53481,                0.96613,                 1.1797,                 1.4155,              0.0098119,              0.0098119,              0.0098119
                     21,                 0.8971,                 1.1573,                 1.3333,                0.70747,                0.64383,                 0.7456,                0.56458,                0.93079,                 1.0713,                 1.3813,               0.009802,               0.009802,               0.009802
                     22,                0.90523,                 1.1312,                 1.3401,                0.62938,                0.75509,                 0.7677,                0.56577,                0.93243,                 1.0489,                 1.3852,              0.0097921,              0.0097921,              0.0097921
                     23,                0.89469,                 1.1244,                 1.3196,                0.78355,                0.65735,                0.76107,                0.57778,                0.93204,                 1.0829,                 1.3919,              0.0097822,              0.0097822,              0.0097822
                     24,                0.87936,                 1.1242,                  1.327,                0.70028,                0.70969,                0.75064,                 0.5552,                0.96245,                 1.1031,                 1.3997,              0.0097723,              0.0097723,              0.0097723
                     25,                0.86126,                 1.0874,                 1.3015,                0.64567,                 0.6868,                0.74421,                0.56389,                0.92717,                 1.1141,                 1.3754,              0.0097624,              0.0097624,              0.0097624
                     26,                0.88107,                   1.11,                 1.3076,                0.65137,                0.72596,                0.74006,                 0.5604,                0.92816,                 1.0839,                 1.3676,              0.0097525,              0.0097525,              0.0097525
                     27,                0.86581,                 1.0402,                 1.2872,                0.67388,                0.68889,                0.73366,                0.55729,                0.91405,                 1.0954,                 1.3429,              0.0097426,              0.0097426,              0.0097426
                     28,                0.86803,                  1.043,                 1.2987,                0.66958,                0.75863,                0.79547,                0.59436,                0.89736,                0.99086,                 1.3479,              0.0097327,              0.0097327,              0.0097327
                     29,                0.87559,                 1.0445,                 1.3064,                0.66417,                0.70953,                 0.7401,                0.56254,                0.89745,                 1.0748,                 1.3453,              0.0097228,              0.0097228,              0.0097228
                     30,                0.86724,                 1.0207,                 1.3004,                0.73398,                0.72991,                0.77081,                 0.5861,                0.90771,                0.99524,                 1.3583,              0.0097129,              0.0097129,              0.0097129
                     31,                0.84582,                0.99596,                 1.2907,                0.68852,                0.75897,                0.77855,                0.58947,                0.90942,                 1.0203,                 1.3517,               0.009703,               0.009703,               0.009703
                     32,                0.84587,                   1.01,                  1.299,                0.73765,                0.70774,                0.77609,                0.57112,                0.91387,                 1.0684,                 1.3668,              0.0096931,              0.0096931,              0.0096931
                     33,                 0.8635,                 1.0072,                 1.2997,                0.66888,                0.75247,                0.77287,                0.58058,                0.91527,                 1.0662,                 1.3756,              0.0096832,              0.0096832,              0.0096832
                     34,                0.85329,                0.99498,                  1.301,                0.75281,                0.74749,                0.79546,                0.60198,                0.89785,                0.99144,                 1.3662,              0.0096733,              0.0096733,              0.0096733
                     35,                0.81656,                0.97272,                 1.2724,                0.73028,                0.74386,                0.78101,                0.59309,                0.88905,                 1.0447,                 1.3637,              0.0096634,              0.0096634,              0.0096634
                     36,                0.81913,                0.96109,                 1.2684,                 0.7484,                0.72203,                0.78904,                0.59748,                0.90189,                 1.0925,                 1.3553,              0.0096535,              0.0096535,              0.0096535
                     37,                 0.8412,                 0.9448,                 1.2715,                0.70955,                0.76721,                0.78837,                0.59877,                0.89316,                 1.0499,                  1.339,              0.0096436,              0.0096436,              0.0096436
                     38,                0.82484,                 0.9618,                 1.2697,                   0.73,                0.71359,                0.74126,                0.55951,                0.88935,                 1.0724,                 1.3471,              0.0096337,              0.0096337,              0.0096337
                     39,                0.81606,                 0.9096,                 1.2686,                0.79461,                0.67056,                0.79157,                0.60057,                0.88732,                0.98332,                 1.3565,              0.0096238,              0.0096238,              0.0096238
                     40,                0.81308,                0.91023,                 1.2626,                0.70581,                0.78053,                0.80547,                0.61453,                0.88391,                0.96081,                  1.321,              0.0096139,              0.0096139,              0.0096139
                     41,                0.80682,                0.89457,                 1.2484,                0.67502,                0.79711,                0.78494,                0.60464,                0.87373,                0.95746,                 1.3198,               0.009604,               0.009604,               0.009604
                     42,                0.83036,                0.93504,                 1.2656,                0.72143,                0.69638,                0.77403,                0.58282,                0.89128,                0.99805,                 1.3611,              0.0095941,              0.0095941,              0.0095941
                     43,                0.81021,                0.91583,                 1.2634,                0.70347,                0.78686,                0.80097,                0.60876,                0.87716,                0.97528,                 1.3322,              0.0095842,              0.0095842,              0.0095842
                     44,                0.80284,                0.90356,                 1.2545,                0.69046,                0.74157,                0.75114,                0.57222,                0.89942,                 1.0605,                 1.3561,              0.0095743,              0.0095743,              0.0095743
                     45,                0.80141,                0.88487,                 1.2492,                0.65919,                0.72669,                0.73018,                0.55363,                0.90399,                 1.1046,                 1.3974,              0.0095644,              0.0095644,              0.0095644
                     46,                 0.8009,                0.89499,                 1.2635,                0.68061,                0.79558,                0.79974,                0.60531,                0.86398,                0.95546,                 1.3467,              0.0095545,              0.0095545,              0.0095545
                     47,                0.78406,                0.86905,                 1.2392,                0.79331,                0.75195,                0.82744,                0.63188,                0.86656,                0.92107,                 1.3377,              0.0095446,              0.0095446,              0.0095446
                     48,                0.79959,                0.89362,                 1.2469,                0.69996,                0.72538,                0.75469,                 0.5778,                0.86841,                 1.0154,                 1.2923,              0.0095347,              0.0095347,              0.0095347
                     49,                0.78157,                0.85823,                 1.2401,                0.73555,                0.72441,                0.78846,                0.60505,                0.89206,                 1.0211,                 1.3337,              0.0095248,              0.0095248,              0.0095248
                     50,                0.78994,                0.86971,                 1.2408,                0.68534,                0.66711,                0.73254,                0.56439,                0.88493,                 1.0668,                 1.3569,              0.0095149,              0.0095149,              0.0095149
                     51,                0.78977,                0.85133,                 1.2448,                0.76248,                0.77315,                0.81564,                0.64256,                0.85143,                0.91116,                 1.3325,               0.009505,               0.009505,               0.009505
                     52,                0.78019,                 0.8543,                 1.2364,                0.74639,                0.75855,                0.80837,                0.63448,                0.83978,                0.89577,                 1.2902,              0.0094951,              0.0094951,              0.0094951
                     53,                 0.7697,                0.83873,                 1.2236,                0.71133,                0.74245,                0.77756,                0.59744,                0.87784,                 1.0043,                 1.3323,              0.0094852,              0.0094852,              0.0094852
                     54,                 0.7692,                0.82186,                 1.2265,                0.74941,                0.73594,                0.78877,                0.60171,                0.83311,                0.94072,                 1.2895,              0.0094753,              0.0094753,              0.0094753
                     55,                0.77093,                0.84677,                 1.2278,                0.74527,                0.73844,                 0.7854,                0.60286,                0.86037,                 0.9581,                  1.308,              0.0094654,              0.0094654,              0.0094654
                     56,                0.77021,                0.82652,                 1.2353,                 0.7061,                0.76805,                0.79011,                0.62238,                0.84485,                0.93942,                 1.3238,              0.0094555,              0.0094555,              0.0094555
                     57,                0.77078,                0.81513,                  1.237,                 0.7139,                0.77279,                0.79393,                 0.6068,                0.86096,                0.95065,                 1.3321,              0.0094456,              0.0094456,              0.0094456
                     58,                0.75929,                0.81584,                 1.2206,                0.69292,                0.79134,                0.78201,                0.59543,                0.87895,                0.95532,                 1.3409,              0.0094357,              0.0094357,              0.0094357
                     59,                 0.7522,                0.77359,                 1.2088,                0.75363,                0.72481,                0.79488,                0.61026,                0.86363,                0.89299,                 1.3213,              0.0094258,              0.0094258,              0.0094258
